Gas,Source,Time Horizon (years),Value,,,,,,,,,,,,
PFC-91-18,Forster/Ramaswamy 2132,500,9500,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,Forster/Ramaswamy 2133,20,13200,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,Forster/Ramaswamy 2134,100,17700,,,,,,,,,,,,
Trifluoromethyl sulfur pentafluoride,Forster/Ramaswamy 2135,500,21200,,,,,,,,,,,,
HFE-125,Forster/Ramaswamy 2136,20,13800,,,,,,,,,,,,
HFE-125,Forster/Ramaswamy 2137,100,14900,,,,,,,,,,,,
HFE-125,Forster/Ramaswamy 2138,500,8490,,,,,,,,,,,,
HFE-134,Forster/Ramaswamy 2139,20,12200,,,,,,,,,,,,
HFE-134,Forster/Ramaswamy 2140,100,6320,,,,,,,,,,,,
HFE-134,Forster/Ramaswamy 2141,500,1960,,,,,,,,,,,,
HFE-143a,Forster/Ramaswamy 2142,20,2630,,,,,,,,,,,,
HFE-143a,Forster/Ramaswamy 2143,100,756,,,,,,,,,,,,
HFE-143a,Forster/Ramaswamy 2144,500,230,,,,,,,,,,,,
HCFE-235da2,Forster/Ramaswamy 2145,20,1230,,,,,,,,,,,,
HCFE-235da2,Forster/Ramaswamy 2146,100,350,,,,,,,,,,,,
HCFE-235da2,Forster/Ramaswamy 2147,500,106,,,,,,,,,,,,
HFE-245cb2,Forster/Ramaswamy 2148,20,2440,,,,,,,,,,,,
HFE-245cb2,Forster/Ramaswamy 2149,100,708,,,,,,,,,,,,
HFE-245cb2,Forster/Ramaswamy 2150,500,215,,,,,,,,,,,,
HFE-245fa2,Forster/Ramaswamy 2151,20,2280,,,,,,,,,,,,
HFE-245fa2,Forster/Ramaswamy 2152,100,659,,,,,,,,,,,,
HFE-245fa2,Forster/Ramaswamy 2153,500,200,,,,,,,,,,,,
HFE-254cb2,Forster/Ramaswamy 2154,20,1260,,,,,,,,,,,,
HFE-254cb2,Forster/Ramaswamy 2155,100,359,,,,,,,,,,,,
HFE-254cb2,Forster/Ramaswamy 2156,500,109,,,,,,,,,,,,
HFE-347mcc3,Forster/Ramaswamy 2157,20,1980,,,,,,,,,,,,
HFE-347mcc3,Forster/Ramaswamy 2158,100,575,,,,,,,,,,,,
HFE-347mcc3,Forster/Ramaswamy 2159,500,175,,,,,,,,,,,,
HFE-347pcf2,Forster/Ramaswamy 2160,20,1900,,,,,,,,,,,,
HFE-347pcf2,Forster/Ramaswamy 2161,100,580,,,,,,,,,,,,
HFE-347pcf2,Forster/Ramaswamy 2162,500,175,,,,,,,,,,,,
HFE-356pcc3,Forster/Ramaswamy 2163,20,386,,,,,,,,,,,,
HFE-356pcc3,Forster/Ramaswamy 2164,100,110,,,,,,,,,,,,
HFE-356pcc3,Forster/Ramaswamy 2165,500,33,,,,,,,,,,,,
HFE-449sl,Forster/Ramaswamy 2166,20,1040,,,,,,,,,,,,
HFE-449sl,Forster/Ramaswamy 2167,100,297,,,,,,,,,,,,
HFE-449sl,Forster/Ramaswamy 2168,500,90,,,,,,,,,,,,
HFE-569sf2,Forster/Ramaswamy 2169,20,207,,,,,,,,,,,,
HFE-569sf2,Forster/Ramaswamy 2170,100,59,,,,,,,,,,,,
HFE-569sf2,Forster/Ramaswamy 2171,500,18,,,,,,,,,,,,
HFE-43-10pccc124,Forster/Ramaswamy 2172,20,6320,,,,,,,,,,,,
HFE-43-10pccc124,Forster/Ramaswamy 2173,100,1870,,,,,,,,,,,,
HFE-43-10pccc124,Forster/Ramaswamy 2174,500,569,,,,,,,,,,,,
HFE-236ca12,Forster/Ramaswamy 2175,20,8000,,,,,,,,,,,,
HFE-236ca12,Forster/Ramaswamy 2176,100,2800,,,,,,,,,,,,
HFE-236ca12,Forster/Ramaswamy 2177,500,860,,,,,,,,,,,,
HFE-338pcc13,Forster/Ramaswamy 2178,20,5100,,,,,,,,,,,,
HFE-338pcc13,Forster/Ramaswamy 2179,100,1500,,,,,,,,,,,,
HFE-338pcc13,Forster/Ramaswamy 2180,500,560,,,,,,,,,,,,
PPMIE,Forster/Ramaswamy 2181,20,7620,,,,,,,,,,,,
PPMIE,Forster/Ramaswamy 2182,100,10300,,,,,,,,,,,,
PPMIE,Forster/Ramaswamy 2183,500,12400,,,,,,,,,,,,
Dimethyl ether,Forster/Ramaswamy 2184,20,1,,,,,,,,,,,,
Dimethyl ether,Forster/Ramaswamy 2185,100,1,,,,,,,,,,,,
Dimethyl ether,Forster/Ramaswamy 2186,500,1,,,,,,,,,,,,
Methylene chloride,Forster/Ramaswamy 2187,20,31,,,,,,,,,,,,
Methylene chloride,Forster/Ramaswamy 2188,100,8.7,,,,,,,,,,,,
Methylene chloride,Forster/Ramaswamy 2189,500,2.7,,,,,,,,,,,,
Methyl chloride,Forster/Ramaswamy 2190,20,45,,,,,,,,,,,,
Methyl chloride,Forster/Ramaswamy 2191,100,13,,,,,,,,,,,,
Methyl chloride,Forster/Ramaswamy 2192,500,4,,,,,,,,,,,,
