Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Fishing,FISHING,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Non-ferrous metals,NONFERR,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,"Paper, pulp, and print",PAPERPRO,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Textile and leather,TEXTILES,
albania,Industrial,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Coal,Blast furnace gas,BLFURGS,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Energy industry own use and Losses,Oil and gas extraction,EOILGASEX,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Liquified petroleum gases (LPG),LPG,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Other oil products,ONONSPEC,Energy industry own use and Losses,Losses,DISTLOSS,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Construction,CONSTRUC,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Energy industry own use and Losses,Oil and gas extraction,EOILGASEX,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Energy industry own use and Losses,Oil refineries,EREFINER,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Fishing,FISHING,
albania,Industrial,Oil products,Other oil products,ONONSPEC,Final consumption,Food and tobacco,FOODPRO,
