Product,Flow,Sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency
BITCOAL,AUTOHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,COMMPUB,Commercial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,CONSTRUC,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,DISTLOSS,Industrial,Coal,coal ef ratio,Y,na
BITCOAL,DOMESNAV,Transportation,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,EBLASTFUR,Industrial,Total,heat ef ratio,Y,na
BITCOAL,ECOALLIQ,Industrial,Coal,coal ef ratio,Y,na
BITCOAL,ECOKEOVS,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,EGASWKS,Industrial,Coal,coal ef ratio,Y,na
BITCOAL,ELAUTOC,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,ELAUTOE,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,ELMAINC,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,ELMAINE,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,ELOUTPUT,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,EMINES,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,ENONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,EPATFUEL,Industrial,Coal,coal ef ratio,Y,na
BITCOAL,EPOWERPLT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,EREFINER,Industrial,Liquid fuels,coal ef ratio,Y,na
BITCOAL,EXPORTS,Total energy consumption,Total,na,N,na
BITCOAL,FISHING,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,FOODPRO,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,HEATOUT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,HEAUTOC,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,HEAUTOH,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,HEMAINC,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,HEMAINH,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,IMPORTS,Total energy consumption,Total,na,N,na
BITCOAL,INDPROD,Total energy consumption,Total,na,N,na
BITCOAL,INONSPEC,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,IRONSTL,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MACHINE,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MAINCHP,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MAINELEC,Electric Power,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MAINHEAT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MANUFACT,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,MARBUNK,Transportation,Liquid fuels,hydrogen ef ratio,N,coal addtl eff
BITCOAL,MINING,Industrial,Coal,coal ef ratio,N,coal addtl eff
BITCOAL,NECHEM,Industrial,Coal,na,N,na
BITCOAL,NEINTREN,Industrial,Coal,na,N,na
BITCOAL,NEOTHER,Industrial,Coal,na,N,na
BITCOAL,NONENUSE,Industrial,Coal,na,N,na
