iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
VNM,Improved Rice,Max extent,PD22,Pathway,OAS-CPA,Vietnam,Mha,7.5841,100,NA,NA,NA,NA
BWA,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-M,Botswana,tCO2e/ha/yr,0.2777,30,0.0000,70,NA,NA
ERI,Agroforestry,Max extent,PD22,Pathway,SSA-L,Eritrea,Mha,7.4599,100,NA,NA,NA,NA
BRA,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,BRA,Brazil,tCO2e/ha/yr,1.2126,30,0.0000,70,NA,NA
MMR,Improved Rice,Max extent,PD22,Pathway,OAS-L,Myanmar,Mha,7.4171,100,NA,NA,NA,NA
BRN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-M,Brunei Darussalam,tCO2e/ha/yr,0.5807,30,0.0000,70,NA,NA
SEN,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Senegal,Mha,7.2509,100,NA,NA,NA,NA
BGR,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,EU12-M,Bulgaria,tCO2e/ha/yr,0.2471,30,0.0000,70,NA,NA
BFA,Agroforestry,Max extent,PD22,Pathway,SSA-L,Burkina Faso,Mha,7.2464,100,NA,NA,NA,NA
BFA,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Burkina Faso,tCO2e/ha/yr,0.3208,30,0.0000,70,NA,NA
MOZ,Cropland Soil Health,Max extent,PD22,Pathway,SSA-L,Mozambique,Mha,7.2018,100,NA,NA,NA,NA
BDI,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Burundi,tCO2e/ha/yr,0.5013,30,0.0000,70,NA,NA
ESP,Natural Regeneration,Max extent,PD22,Pathway,EU26,Spain,Mha,7.0397,100,NA,NA,NA,NA
KHM,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Cambodia,tCO2e/ha/yr,1.4383,30,0.0000,70,NA,NA
ROU,Biochar,Max extent,PD22,Pathway,EU12-M,Romania,Mha,7.0104,100,NA,NA,NA,NA
CMR,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cameroon,tCO2e/ha/yr,0.5362,30,0.0000,70,NA,NA
HUN,Agroforestry,Max extent,PD22,Pathway,EU12-H,Hungary,Mha,6.9926,100,NA,NA,NA,NA
CAN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,CAN,Canada,tCO2e/ha/yr,0.7437,30,0.0000,70,NA,NA
CHL,Optimal Intensity,Max extent,PD22,Pathway,LAM-M,Chile,Mha,6.9156,100,NA,NA,NA,NA
CPV,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Cape Verde,tCO2e/ha/yr,0.2531,30,0.0000,70,NA,NA
PHL,Natural Regeneration,Max extent,PD22,Pathway,OAS-L,Philippines,Mha,6.7170,100,NA,NA,NA,NA
CAF,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Central African Republic,tCO2e/ha/yr,0.8273,30,0.0000,70,NA,NA
ETH,Biochar,Max extent,PD22,Pathway,SSA-L,Ethiopia,Mha,6.7143,100,NA,NA,NA,NA
TCD,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,SSA-L,Chad,tCO2e/ha/yr,0.3334,30,0.0000,70,NA,NA
DEU,Biochar,Max extent,PD22,Pathway,EU15,Germany,Mha,6.6955,100,NA,NA,NA,NA
CHL,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,LAM-M,Chile,tCO2e/ha/yr,1.9012,30,0.0000,70,NA,NA
CAF,Optimal Intensity,Max extent,PD22,Pathway,SSA-L,Central African Republic,Mha,6.6895,100,NA,NA,NA,NA
CHN,Cropland Soil Health,Avg mitigation potential flux,PD22,Pathway,CHN,China,tCO2e/ha/yr,0.8646,30,0.0000,70,NA,NA
