product_short,flow_short,sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,High Temp Heat,hydrogen,flexible,nonenergy
OTHKERO,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONCRUDE,AVBUNK,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,Y,N
HYDROGEN,AVBUNK,Transportation,Liquid fuels,hydrogen ef ratio,N,oil addtl eff,N,N,Y,Y,N
ANTCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
AVGAS,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
BIODIESEL,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
BIOGASES,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
BIOGASOL,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
BITCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BITUMEN,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
BKB,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
BLFURGS,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CHARCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COALTAR,CHEMICAL,Industrial,Liquid fuels,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
COKEOVGS,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
CRUDEOIL,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ELECTR,CHEMICAL,Industrial,Electricity,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ETHANE,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
GASWKSGS,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
GEOTHERM,CHEMICAL,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
HEAT,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
HEATNS,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
INDWASTE,CHEMICAL,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
LIGNITE,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
LPG,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
LUBRIC,CHEMICAL,Industrial,Total,na,N,na,N,N,N,N,Y
MUNWASTEN,CHEMICAL,Industrial,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
MUNWASTER,CHEMICAL,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
NATGAS,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NGL,CHEMICAL,Industrial,Liquid fuels,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
NONBIODIES,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOGASO,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
NONBIOJETK,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OBIOLIQ,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
OGASES,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
OILSHALE,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
ONONSPEC,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OTHKERO,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
OVENCOKE,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PATFUEL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEAT,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PEATPROD,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PETCOKE,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
PRIMSBIO,CHEMICAL,Industrial,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,N,N
REFINGAS,CHEMICAL,Industrial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,N,N
RESFUEL,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
SOLARTH,CHEMICAL,Industrial,Renewables,wws heat ef ratio,N,wws heat addtl eff,N,N,N,N,N
SUBCOAL,CHEMICAL,Industrial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,N,N
WHITESP,CHEMICAL,Industrial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,N,N
LHEAT,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
HHEAT,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,Y,N
LHEATNS,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
HHEATNS,CHEMICAL,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
ANTCOAL,COMMPUB,Commercial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,Y,N
AVGAS,COMMPUB,Commercial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,Y,N
BIODIESEL,COMMPUB,Commercial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,Y,N
BIOGASES,COMMPUB,Commercial,Natural gas,natural gas ef ratio,N,natural gas addtl eff,N,N,N,Y,N
BIOGASOL,COMMPUB,Commercial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,N,N,N,Y,N
BITCOAL,COMMPUB,Commercial,Coal,coal ef ratio,N,coal addtl eff,N,N,N,Y,N
BITUMEN,COMMPUB,Commercial,Liquid fuels,oil ef ratio,N,oil addtl eff,N,N,N,Y,N
